Cave,Speleothem,number of data point,δ13C [‰],MAT [°C],Precipi-tation [mm/a],altitude [m asl],Comments on dating,Reference
Munagamanu Cave,Mun-stm1,21,-4.29,27.6,526,475,2/-/-,Atsawawaranunt et al. (2018a)
Natural Bridge Caverns,NBJ,6,-7.71,21,740,315,0/-/-,Wong et al. (2015)
New St Michael's Cave,Gib04a,443,-11.04,18.3,767,426,0/LC/14C-BPD,Mattey et al. (2008)
Okshola Cave,FM3,2,-6.56,3.2,1000,165,0/-/-,Linge et al. (2009)
Palestina Cave,PAL3,10,-11.40,22.8,1570,870,0/-/-,Apaéstegui et al. (2014)
Paraiso Cave,PAR03,19,-8.97,26,2400,60,2/-/-,Wang et al. (2017)
Perdida Cave,PDR-1,86,-5.53,27.3,1375,400,0/active/-,Winter et al. (2011)
Postojna Cave,POS-STM-4,10,-9.59,8,1500,529,0/event/14C-BPD,Genty et al. (1998)
Rukiessa Cave,Merc-1,84,-5.15,18.9,1030,1618,0/LC/14C-BPD,Baker et al. (2007)
Rukiessa Cave,Asfa-3,83,-6.44,18.9,1030,1618,0/LC/14C-BPD,Baker et al. (2007)
Sahiya Cave,SAH-AB,110,0.24,22,1600,1190,1/-/-,Sinha et al. (2015)
Sofular Cave,So-1,56,-9.57,13.8,1200,400,0/-/-,Fleitmann et al. (2009)
Soreq Cave,Soreq-composite,20,-10.17,20,500,400,0/-/-,Grant et al. (2012)
Soylegrotta Cave,SG95,4,-3.60,3.5,1450,280,0/-/-,Linge et al. (2001)
Tamboril Cave,TM0*,10,-11.09,22.5,1400,575,1/-/-,Wortham et al. (2017)
Taurius Cave,Taurius,293,-11.71,26,2735,230,4/-/210Pb,Partin et al. (2013)
Tonnelnaya Cave,TON-2,2,1.38,3.1,355,3226,0/-/-,Cheng et al. (2016)
Uamh an Tartair,SU967,39,-11.16,7.1,1900,220,-/LC/-,Baker et al. (2012)
Uamh an Tartair,SU032,101,-11.89,7.1,1900,220,-/LC/-,Baker et al. (2011)
Ursilor Cave,PU-2,1,-10.81,9.7,950,482,0/-/-,Onac et al. (2002)
Villars Cave,Vil-stm6,1,-9.06,12.5,1005,175,0/-/-,Atsawawaranunt et al. (2018a)
Villars Cave,Vil-stm1,21,-8.56,12.5,1005,175,0/LC/14C-BPD,Labuhn et al. (2015)
Wah Shikhar Cave,WS-B,72,-2.59,17,2150,1290,0/-/-,Sinha et al. (2011)
Xinya Cave,XY07-8,75,-4.74,16.1,1130,1250,0/dripping/-,Li et al. (2017)
Yok Balum Cave,YOKI*,174,-9.86,22.9,2950,366,3/-/14C-BPD,Kennett et al. (2012)
Yok Balum Cave,YOKG*,659,-10.52,22.9,2950,366,6/-/14C-BPD,Ridley et al. (2015)
